station_complex_name,borough,routes,route_count,station_geom,line_ACE,line_123,line_BDFM,line_456,line_NQRW,line_7,line_L,line_G,line_JZ,rider_change,emp_change,bus_change,pop_change,women_share_change,med_age_change,college_age_change,young_prof_age_change,med_income_change,med_rent_change,housing_units_change,renter_share_change
Beach 105 St,Queens,A S,2,POINT (-73.827559 40.583209),1,0,0,0,0,0,0,0,0,85.1063829787234,29.49547218628719,10.352422907488986,3.6690865093768905,-2.210637924530001,6.280193236714961,-4.6069315300084535,2.525077827741266,10.111046630173941,18.373493975903614,1.715102429728442,-0.6504737950114248
Beach 25 St,Queens,A,1,POINT (-73.761353 40.600066),1,0,0,0,0,0,0,0,0,98.23008849557522,24.599954924498533,3.5294117647058822,9.826324663207346,0.013079238475610655,-0.3205128205128137,-8.701957940536621,11.171259842519685,17.097617295541628,18.57707509881423,4.279385427467245,1.3683869920709024
Beach 36 St,Queens,A,1,POINT (-73.768175 40.595398),1,0,0,0,0,0,0,0,0,90.34334763948499,25.971975527925796,4.9504950495049505,11.83266679362661,0.033410636783681724,-1.9519519519519264,-4.773633591367581,13.028191523365084,8.950859683675072,17.117117117117118,4.968193610291766,0.7511528641009568
Beach 44 St,Queens,A,1,POINT (-73.776013 40.592943),1,0,0,0,0,0,0,0,0,133.33333333333331,25.971975527925796,4.9504950495049505,11.83266679362661,0.033410636783681724,-1.9519519519519264,-4.773633591367581,13.028191523365084,8.950859683675072,17.117117117117118,4.968193610291766,0.7511528641009568
Beach 60 St,Queens,A,1,POINT (-73.788522 40.592374),1,0,0,0,0,0,0,0,0,52.84738041002278,25.971975527925796,4.9504950495049505,11.83266679362661,0.033410636783681724,-1.9519519519519264,-4.773633591367581,13.028191523365084,8.950859683675072,17.117117117117118,4.968193610291766,0.7511528641009568
Beach 67 St,Queens,A,1,POINT (-73.796924 40.590927),1,0,0,0,0,0,0,0,0,88.10375670840787,51.66666666666667,17.040358744394617,16.894756799613912,-0.9528781979710521,-1.073825503355701,11.160714285714286,19.739696312364423,10.147566117286317,19.988276670574443,6.007416563658838,-3.066886213722264
Beach 90 St,Queens,A S,2,POINT (-73.813641 40.588034),1,0,0,0,0,0,0,0,0,136.9330453563715,31.27297794117647,10.727272727272727,8.92892340442307,-1.2717605636117568,3.3840947546531366,2.1015761821366024,8.902848478284414,7.937706299599691,17.474712242762482,3.432960118441751,-0.36911342613354936
Beach 98 St,Queens,A S,2,POINT (-73.820558 40.585307),1,0,0,0,0,0,0,0,0,64.72602739726028,29.49547218628719,10.352422907488986,3.6690865093768905,-2.210637924530001,6.280193236714961,-4.6069315300084535,2.525077827741266,10.111046630173941,18.373493975903614,1.715102429728442,-0.6504737950114248
Bedford - Nostrand Avs,Brooklyn,G,1,POINT (-73.953522 40.689627),0,0,0,0,0,0,0,1,0,20.835616438356162,28.438971238255796,23.042836041358935,5.639978685567176,-0.07422255644727871,1.2602394454946506,-2.949262684328918,14.899620789649786,30.69280585921998,25.795434118281506,5.197690587026178,-0.5510317857012836
Bedford Av,Brooklyn,L,1,POINT (-73.956872 40.717304),0,0,0,0,0,0,1,0,0,3.292564550572704,10.816805018693366,11.161524500907442,9.147398730552265,-0.4814561844068477,3.3123028391167098,-22.010502625656414,19.037146714279494,41.36923869894291,42.12717638152915,7.755924296241319,-0.15296297064022468
Bedford Park Blvd,Bronx,B D,2,POINT (-73.887138 40.873244),0,0,1,0,0,0,0,0,0,1.8403934634301127,100.50544435779685,3.5855588526211672,6.915831631603108,-0.7047234534379054,1.7371601208459084,-4.098578804492468,12.41451274024564,11.327505043712172,14.99546279491833,3.614837154196045,-0.05998878913960892
Bedford Park Blvd - Lehman College,Bronx,4,1,POINT (-73.890064 40.873412),0,0,0,1,0,0,0,0,0,-16.626350588614738,100.50544435779685,3.5855588526211672,6.915831631603108,-0.7047234534379054,1.7371601208459084,-4.098578804492468,12.41451274024564,11.327505043712172,14.99546279491833,3.614837154196045,-0.05998878913960892
Bergen St,Brooklyn,2 3,2,POINT (-73.975098 40.680829),0,1,0,0,0,0,0,0,0,-10.245700245700245,9.500119731800766,11.129848229342327,6.34995414200442,0.7406092082720694,2.050530941047223,-20.92645146032872,3.9025096874660483,29.853205090059475,23.713523689990588,3.9804571175329277,-1.6332953877292167
Bergen St,Brooklyn,F G,2,POINT (-73.990862 40.686145),0,0,1,0,0,0,0,1,0,-3.355820792250476,9.500119731800766,11.129848229342327,6.34995414200442,0.7406092082720694,2.050530941047223,-20.92645146032872,3.9025096874660483,29.853205090059475,23.713523689990588,3.9804571175329277,-1.6332953877292167
Beverley Rd,Brooklyn,Q,1,POINT (-73.964492 40.644031),0,0,0,0,1,0,0,0,0,43.162393162393165,24.065618681103647,13.599595551061677,1.932188925139347,-0.3929718415521144,3.6633663366336666,-22.961759669842387,6.652581928953963,30.524814819488427,21.37444473477919,2.4149431486720014,-1.1858498445257992
Beverly Rd,Brooklyn,2 5,2,POINT (-73.948959 40.645098),0,1,0,1,0,0,0,0,0,-2.742857142857143,-1.7701481362639715,8.547557840616966,-0.1772211234421194,0.4582879518590266,2.8971962616822378,-15.824473226367678,5.238907849829352,17.06245719859162,19.441970911249623,4.224628733157763,0.7216238759849336
Bowery,Manhattan,J Z,2,POINT (-73.993915 40.72028),0,0,0,0,0,0,0,0,1,36.274152387896464,4.662699785511658,-2.656940524998669,-4.400170427854029,-0.15658573870854786,4.6379555134879515,-10.21697857336588,-5.7090734742086005,20.84794351781652,25.182440776917026,1.3532496377850833,-0.21614929174004205
Bowling Green,Manhattan,4 5,2,POINT (-74.014065 40.704817),0,0,0,1,0,0,0,0,0,-6.507832898172324,8.37269956321815,2.1401594628619387,14.953192207135027,1.0296322197554608,6.0821084642676135,-9.348093480934809,2.561961909731281,28.664665669565398,62.98735054583261,12.527773663161012,-3.8867480834318457
Briarwood - Van Wyck Blvd,Queens,E F,2,POINT (-73.820574 40.709179),1,0,1,0,0,0,0,0,0,5.338765008576329,9.47136563876652,9.8488542174549,7.003606811852257,-0.47687160289758834,3.0985915492957785,-3.7984571819158286,9.489565185157726,12.222968056362511,15.069551777434311,0.32273838630806845,-0.2550886576921485
Brighton Beach,Brooklyn,B Q,2,POINT (-73.961376 40.577621),0,0,1,0,1,0,0,0,0,-0.9848173984407058,62.346497040374594,14.775227915749763,6.546323560790339,-1.0363468879761917,-1.3071895424836633,-17.474317733734566,14.830841856805666,23.94241898148148,15.650296815974096,1.5398930832527504,0.347186802827093
Broad Channel,Queens,A S,2,POINT (-73.815925 40.608382),1,0,0,0,0,0,0,0,0,124.40944881889764,75.71428571428571,20.47244094488189,13.974415527128365,-2.71350182209924,1.0230179028132955,10.122989593188269,19.99038923594426,17.522246391140992,24.789410348977135,4.583812811660913,-6.601129023637125
Broad St,Manhattan,J Z,2,POINT (-74.011056 40.706476),0,0,0,0,0,0,0,0,1,25.110913930789707,8.37269956321815,2.1401594628619387,14.953192207135027,1.0296322197554608,6.0821084642676135,-9.348093480934809,2.561961909731281,28.664665669565398,62.98735054583261,12.527773663161012,-3.8867480834318457
Broadway,Brooklyn,G,1,POINT (-73.950308 40.706092),0,0,0,0,0,0,0,1,0,32.63064133016627,11.23309811960421,8.861781325679432,5.647160957563309,0.46123139256326606,0.7548845470692856,-12.839469295297837,14.895545425176785,33.62075947789789,29.283341243474144,9.345700306713468,-0.6577211664185789
Broadway,Queens,N W,2,POINT (-73.925508 40.76182),0,0,0,0,1,0,0,0,0,-36.1972891566265,11.23309811960421,8.861781325679432,5.647160957563309,0.46123139256326606,0.7548845470692856,-12.839469295297837,14.895545425176785,33.62075947789789,29.283341243474144,9.345700306713468,-0.6577211664185789
Broadway Jct,Brooklyn,A C J L Z,5,POINT (-73.90435599999999 40.678896),1,0,0,0,0,0,1,0,1,-8.134943021550265,16.770585906571654,10.461386627189736,2.042383960068292,-0.8656461259725079,6.946564885496179,-13.505702637147133,15.0125803746156,20.198657425094144,12.993149066855658,5.80285578578638,-0.9588585571408292
Bronx Park East,Bronx,2 5,2,POINT (-73.868457 40.848828),0,1,0,1,0,0,0,0,0,-15.579587698546806,17.15598162572399,7.191568505889647,2.104111559875012,0.0820375036527321,3.9816232771822486,-2.401891951814352,8.997934572589779,16.28845110090801,13.560929350403034,2.252042007001167,-1.123031411073394
Brook Av,Bronx,6,1,POINT (-73.91924 40.807566),0,0,0,1,0,0,0,0,0,-2.360168121564824,17.066007110836296,5.481906126836259,4.3282746689394616,-1.3402253195636593,5.834683954619115,-8.469917012448134,15.014484356894553,13.624001359850416,22.73190621814475,6.50014051677109,-0.760155327658929
Brooklyn Bridge - City Hall / Chambers St,Manhattan,4 5 6 J Z,5,POINT (-74.003766 40.713154),0,0,0,1,0,0,0,0,1,-15.670665212649945,12.240438125403665,-1.988329371082775,1.1221149578339993,0.21681632462372535,6.518518518518506,-14.631268436578171,-3.8947751352826154,28.11159599252253,51.17635024549918,6.2590211258365045,-0.7559275160516687
Buhre Av,Bronx,6,1,POINT (-73.832569 40.84681),0,0,0,1,0,0,0,0,0,0.6993006993006993,3.944967008283027,8.064516129032258,-2.1109408646678816,-0.08884410045070235,1.2771392081736725,-13.274981765134939,4.560310489224798,11.554623632180785,14.327607875994971,-2.223217343202592,-0.9877611699599331
Burke Av,Bronx,2 5,2,POINT (-73.867164 40.871356),0,1,0,1,0,0,0,0,0,-10.465116279069768,380.45141545524103,5.517633674630262,4.106168338247448,-0.908418177575876,7.7259475218659075,-8.620407271933177,7.936246673799138,7.293443042291951,14.236706689536879,2.083059750492449,-1.3970121325398321
Burnside Av,Bronx,4,1,POINT (-73.907684 40.853453),0,0,0,1,0,0,0,0,0,-11.496539792387543,14.58735580969355,5.894549763033175,6.743250347086495,0.16020972997562444,0.41356492969396197,-3.871287128712871,15.337212212212211,12.737448650436988,13.444976076555024,4.752643504531722,0.7995030206396803
Bushwick Av - Aberdeen St,Brooklyn,L,1,POINT (-73.905249 40.682829),0,0,0,0,0,0,1,0,0,37.77335984095427,29.384796332301192,13.012271359110905,2.807749401007131,-0.430014485342467,3.5881435257410477,-12.575166156767592,18.25803637156801,26.95828709775043,17.306843267108167,4.977152547470073,-1.3769300480710345
