station_complex_name,borough,routes,route_count,station_geom,line_ACE,line_123,line_BDFM,line_456,line_NQRW,line_7,line_L,line_G,line_JZ,ridership_2013,rider_change,emp_change,bus_change,pop_change,women_share_change,med_age_change,college_age_change,young_prof_age_change,med_income_change,med_rent_change,housing_units_change,renter_share_change
170 St,Bronx,4,1,POINT (-73.917791 40.840075),0,0,0,1,0,0,0,0,0,9525.0,-1385.0,10254.0,666.0,23454.0,0.7622154998168873,0.5749999999999993,-3508.0,10170.0,2057.0,137.5,8914.0,0.5136851973217782
170 St,Bronx,B D,2,POINT (-73.9134 40.839306),0,0,1,0,0,0,0,0,0,6563.0,1350.0,10254.0,666.0,23454.0,0.7622154998168873,0.5749999999999993,-3508.0,10170.0,2057.0,137.5,8914.0,0.5136851973217782
174 St,Bronx,2 5,2,POINT (-73.887734 40.837288),0,1,0,1,0,0,0,0,0,7339.0,-588.0,3174.0,260.0,7965.0,-0.06151510521952286,1.7000000000000028,-1675.0,5641.0,2736.25,119.25,3553.0,-0.7591515231620161
174-175 Sts,Bronx,B D,2,POINT (-73.910136 40.8459),0,0,1,0,0,0,0,0,0,4885.0,-1664.0,5127.0,333.0,11727.0,0.7622154998168873,0.5749999999999993,-1754.0,5085.0,2057.0,137.5,4457.0,0.5136851973217782
175 St,Manhattan,A,1,POINT (-73.939704 40.847391),1,0,0,0,0,0,0,0,0,13309.0,-729.0,20069.0,14.0,6933.0,0.136359008396858,0.10000000000000142,-3963.0,9283.0,12710.5,224.75,3681.0,-0.09454640390766933
176 St,Bronx,4,1,POINT (-73.911794 40.84848),0,0,0,1,0,0,0,0,0,5905.0,-98.0,5127.0,333.0,11727.0,0.7622154998168873,0.5749999999999993,-1754.0,5085.0,2057.0,137.5,4457.0,0.5136851973217782
18 Av,Brooklyn,D,1,POINT (-74.001736 40.607954),0,0,1,0,0,0,0,0,0,6162.0,-26.0,42210.0,2230.0,-9299.0,0.09227927944486236,0.46999999999999886,-12796.0,-7590.0,6991.700000000004,207.20000000000005,-4514.0,-0.5185284104904819
18 Av,Brooklyn,F,1,POINT (-73.976971 40.629755),0,0,1,0,0,0,0,0,0,4204.0,-257.0,42210.0,2230.0,-9299.0,0.09227927944486236,0.46999999999999886,-12796.0,-7590.0,6991.700000000004,207.20000000000005,-4514.0,-0.5185284104904819
18 Av,Brooklyn,N,1,POINT (-73.990414 40.620671),0,0,0,0,1,0,0,0,0,5092.0,-1995.0,42210.0,2230.0,-9299.0,0.09227927944486236,0.46999999999999886,-12796.0,-7590.0,6991.700000000004,207.20000000000005,-4514.0,-0.5185284104904819
18 St,Manhattan,1,1,POINT (-73.997871 40.74104),0,1,0,0,0,0,0,0,0,8505.0,355.0,7869.0,-450.0,-164.0,-2.3281453548868845,0.8199999999999932,-1754.0,-1878.0,17781.40000000001,356.5999999999999,1584.0,-2.627801151425968
