station_complex_name,station_geom,ridership_2013,ridership_2018,routes,ridership_perc_change
96 St,POINT (-73.964696 40.791642),9815,9924,B C,1.1
96 St,POINT (-73.972323 40.793919),38711,36026,1 2 3,-6.9
Alabama Av,POINT (-73.898654 40.676992),2443,2147,L,-12.1
Allerton Av,POINT (-73.867352 40.865462),5526,5144,2 5,-6.9
Aqueduct - N Conduit Av,POINT (-73.834058 40.668234),1951,921,A,-52.8
Aqueduct Racetrack,POINT (-73.835919 40.672097),551,1901,A,245.0
Astor Pl,POINT (-73.99107 40.730054),17914,16031,6,-10.5
Astoria - Ditmars Blvd,POINT (-73.912034 40.775036),17039,15663,N W,-8.1
Astoria Blvd,POINT (-73.917843 40.770258),12210,14425,N W,18.1
Atlantic Av,POINT (-73.903097 40.675345),1580,1842,L,16.6
Atlantic Av - Barclays Ctr,POINT (-73.97778866666665 40.68416166666667),39871,43211,B D N Q R 2 3 4 5,8.4
Avenue H,POINT (-73.961639 40.62927),2861,3418,Q,19.5
Avenue I,POINT (-73.976127 40.625322),2283,1096,F,-52.0
Avenue J,POINT (-73.960803 40.625039),6036,6058,Q,0.4
Avenue M,POINT (-73.959399 40.617618),5836,6001,Q,2.8
Avenue N,POINT (-73.974197 40.61514),3411,2087,F,-38.8
Avenue P,POINT (-73.973022 40.608944),2757,1710,F,-38.0
Avenue U,POINT (-73.973357 40.596063),2296,1042,F,-54.6
Avenue U,POINT (-73.979137 40.597473),3738,2627,N,-29.7
Avenue U,POINT (-73.955929 40.5993),6821,7323,Q,7.4
Avenue X,POINT (-73.97425 40.58962),2972,2662,F,-10.4
Bay 50 St,POINT (-73.983765 40.588841),2793,2674,D,-4.3
Bay Pkwy,POINT (-73.993728 40.601875),7111,7719,D,8.6
Bay Pkwy,POINT (-73.975264 40.620769),1575,623,F,-60.4
Bay Pkwy,POINT (-73.981848 40.611815),6990,7261,N,3.9
Bay Ridge - 95 St,POINT (-74.030876 40.616622),5974,5812,R,-2.7
Bay Ridge Av,POINT (-74.023377 40.634967),8079,7236,R,-10.4
Baychester Av,POINT (-73.838591 40.878663),4177,3551,5,-15.0
Beach 105 St,POINT (-73.827559 40.583209),141,261,A S,85.1
Beach 25 St,POINT (-73.761353 40.600066),904,1792,A,98.2
Beach 36 St,POINT (-73.768175 40.595398),466,887,A,90.3
Beach 44 St,POINT (-73.776013 40.592943),297,693,A,133.3
Beach 60 St,POINT (-73.788522 40.592374),1317,2013,A,52.8
Beach 67 St,POINT (-73.796924 40.590927),1118,2103,A,88.1
Beach 90 St,POINT (-73.813641 40.588034),463,1097,A S,136.9
Beach 98 St,POINT (-73.820558 40.585307),292,481,A S,64.7
Bedford - Nostrand Avs,POINT (-73.953522 40.689627),7300,8821,G,20.8
Bedford Av,POINT (-73.956872 40.717304),25755,26603,L,3.3
Bedford Park Blvd,POINT (-73.887138 40.873244),6303,6419,B D,1.8
Bedford Park Blvd - Lehman College,POINT (-73.890064 40.873412),6201,5170,4,-16.6
Bergen St,POINT (-73.975098 40.680829),4070,3653,2 3,-10.2
Bergen St,POINT (-73.990862 40.686145),11562,11174,F G,-3.4
Beverley Rd,POINT (-73.964492 40.644031),2340,3350,Q,43.2
Beverly Rd,POINT (-73.948959 40.645098),4375,4255,2 5,-2.7
Bowery,POINT (-73.993915 40.72028),2743,3738,J Z,36.3
Bowling Green,POINT (-74.014065 40.704817),30640,28646,4 5,-6.5
Briarwood - Van Wyck Blvd,POINT (-73.820574 40.709179),4664,4913,E F,5.3
Brighton Beach,POINT (-73.961376 40.577621),12185,12065,B Q,-1.0
Broad Channel,POINT (-73.815925 40.608382),127,285,A S,124.4
Broad St,POINT (-74.011056 40.706476),5635,7050,J Z,25.1
Broadway,POINT (-73.950308 40.706092),3368,4467,G,32.6
Broadway,POINT (-73.925508 40.76182),13280,8473,N W,-36.2
Broadway Jct,POINT (-73.90435599999999 40.678896),8863,8142,A C J L Z,-8.1
Bronx Park East,POINT (-73.868457 40.848828),2959,2498,2 5,-15.6
Brook Av,POINT (-73.91924 40.807566),6186,6040,6,-2.4
Brooklyn Bridge - City Hall / Chambers St,POINT (-74.003766 40.713154),36680,30932,4 5 6 J Z,-15.7
Buhre Av,POINT (-73.832569 40.84681),3718,3744,6,0.7
Burke Av,POINT (-73.867164 40.871356),3612,3234,2 5,-10.5
Burnside Av,POINT (-73.907684 40.853453),11560,10231,4,-11.5
Bushwick Av - Aberdeen St,POINT (-73.905249 40.682829),1509,2079,L,37.8
Canal St,POINT (-74.006277 40.722854),6039,6410,1,6.1
Canal St,POINT (-74.005229 40.720824),19738,20424,A C E,3.5
Canal St,POINT (-74.00057999999999 40.71870125),44696,47034,J N Q R W Z 6,5.2
Canarsie - Rockaway Pkwy,POINT (-73.90185 40.646654),13254,11947,L,-9.9
Carroll St,POINT (-73.995048 40.680303),12339,11562,F G,-6.3
Castle Hill Av,POINT (-73.851222 40.834255),5632,6483,6,15.1
