station,population_2013,population_2018,employee_count_2013,employee_count_2018,business_count_2013,business_count_2018,borough,route_count,ridership_2013,ridership_2018,station_geom,rider_change,pop_change,emp_change,bus_change
8 St - NYU,311220.0,292221.0,277440.0,288461.0,17803.0,17368.0,Manhattan,2,16597,17192,POINT (-73.992629 40.730328),595,-18999.0,11021.0,-435.0
80 St,220743.0,227933.0,26371.0,27345.0,2661.0,2874.0,Queens,1,4291,4316,POINT (-73.858992 40.679371),25,7190.0,974.0,213.0
81 St - Museum of Natural History,120479.0,121436.0,64414.0,64732.0,4334.0,4246.0,Manhattan,2,13663,15383,POINT (-73.972143 40.781433),1720,957.0,318.0,-88.0
82 St - Jackson Hts,248795.0,242232.0,41859.0,45648.0,5022.0,5304.0,Queens,1,15662,14626,POINT (-73.883697 40.747659),-1036,-6563.0,3789.0,282.0
85 St - Forest Pkwy,161645.0,166787.0,18627.0,19948.0,1798.0,1969.0,Queens,1,3792,3699,POINT (-73.86001 40.692435),-93,5142.0,1321.0,171.0
86 St,449370.0,459230.0,141041.0,142576.0,12675.0,12724.0,Brooklyn,2,14163,13266,POINT (-74.00331399999999 40.607704),-897,9860.0,1535.0,49.0
86 St,449370.0,459230.0,141041.0,142576.0,12675.0,12724.0,Manhattan,6,95743,68501,POINT (-73.96690766666666 40.784668),-27242,9860.0,1535.0,49.0
88 St,99542.0,100054.0,13875.0,14492.0,1349.0,1469.0,Queens,1,2719,2835,POINT (-73.85147 40.679843),116,512.0,617.0,120.0
9 Av,372533.0,357945.0,105766.0,126459.0,10382.0,11523.0,Brooklyn,1,5857,5344,POINT (-73.994324 40.646292),-513,-14588.0,20693.0,1141.0
90 St - Elmhurst Av,270441.0,268236.0,36619.0,41313.0,4776.0,5135.0,Queens,1,16743,16253,POINT (-73.876613 40.748408),-490,-2205.0,4694.0,359.0
96 St,294129.0,290659.0,84563.0,85949.0,6789.0,6666.0,Manhattan,6,74758,63397,POINT (-73.96269633333334 40.790411),-11361,-3470.0,1386.0,-123.0
Allerton Av,245456.0,261562.0,24037.0,56460.0,2816.0,2947.0,Bronx,2,5526,5144,POINT (-73.867352 40.865462),-382,16106.0,32423.0,131.0
Aqueduct - N Conduit Av,107687.0,109833.0,47238.0,49064.0,1614.0,1717.0,Queens,1,1951,921,POINT (-73.834058 40.668234),-1030,2146.0,1826.0,103.0
Aqueduct Racetrack,107687.0,109833.0,47238.0,49064.0,1614.0,1717.0,Queens,1,551,1901,POINT (-73.835919 40.672097),1350,2146.0,1826.0,103.0
Astor Pl,280623.0,261483.0,232528.0,247685.0,15365.0,15040.0,Manhattan,1,17914,16031,POINT (-73.99107 40.730054),-1883,-19140.0,15157.0,-325.0
Astoria - Ditmars Blvd,108464.0,104322.0,22947.0,27224.0,2883.0,3084.0,Queens,2,17039,15663,POINT (-73.912034 40.775036),-1376,-4142.0,4277.0,201.0
Astoria Blvd,145333.0,142685.0,34002.0,37398.0,3980.0,4235.0,Queens,2,12210,14425,POINT (-73.917843 40.770258),2215,-2648.0,3396.0,255.0
Atlantic Av,245610.0,245318.0,26091.0,30979.0,2182.0,2417.0,Brooklyn,1,1580,1842,POINT (-73.903097 40.675345),262,-292.0,4888.0,235.0
Avenue I,239940.0,240561.0,47698.0,65038.0,5890.0,6496.0,Brooklyn,1,2283,1096,POINT (-73.976127 40.625322),-1187,621.0,17340.0,606.0
Avenue N,239788.0,247842.0,50015.0,67062.0,6259.0,6869.0,Brooklyn,1,3411,2087,POINT (-73.974197 40.61514),-1324,8054.0,17047.0,610.0
Avenue P,239788.0,247842.0,50015.0,67062.0,6259.0,6869.0,Brooklyn,1,2757,1710,POINT (-73.973022 40.608944),-1047,8054.0,17047.0,610.0
Avenue U,157762.0,174735.0,28146.0,36168.0,3863.0,4322.0,Brooklyn,2,6034,3669,POINT (-73.976247 40.596768),-2365,16973.0,8022.0,459.0
Avenue X,191771.0,206624.0,38338.0,56874.0,5237.0,5912.0,Brooklyn,1,2972,2662,POINT (-73.97425 40.58962),-310,14853.0,18536.0,675.0
Bay 50 St,200297.0,221442.0,33779.0,42248.0,4528.0,5076.0,Brooklyn,1,2793,2674,POINT (-73.983765 40.588841),-119,21145.0,8469.0,548.0
Bay Pkwy,322944.0,340788.0,62461.0,83108.0,8066.0,8930.0,Brooklyn,3,15676,15603,POINT (-73.98361333333334 40.61148633333334),-73,17844.0,20647.0,864.0
Bay Ridge - 95 St,116552.0,112803.0,20798.0,20478.0,2847.0,2928.0,Brooklyn,1,5974,5812,POINT (-74.030876 40.616622),-162,-3749.0,-320.0,81.0
Bay Ridge Av,219641.0,208446.0,43331.0,46869.0,5322.0,5735.0,Brooklyn,1,8079,7236,POINT (-74.023377 40.634967),-843,-11195.0,3538.0,413.0
Baychester Av,185683.0,189557.0,24386.0,23674.0,1661.0,1811.0,Bronx,1,4177,3551,POINT (-73.838591 40.878663),-626,3874.0,-712.0,150.0
Beach 105 St,33060.0,34273.0,3092.0,4004.0,454.0,501.0,Queens,2,141,261,POINT (-73.827559 40.583209),120,1213.0,912.0,47.0
Beach 25 St,61091.0,67094.0,8874.0,11057.0,510.0,528.0,Queens,1,904,1792,POINT (-73.761353 40.600066),888,6003.0,2183.0,18.0
Beach 36 St,78765.0,88085.0,10134.0,12766.0,606.0,636.0,Queens,1,466,887,POINT (-73.768175 40.595398),421,9320.0,2632.0,30.0
Beach 44 St,78765.0,88085.0,10134.0,12766.0,606.0,636.0,Queens,1,297,693,POINT (-73.776013 40.592943),396,9320.0,2632.0,30.0
Beach 60 St,78765.0,88085.0,10134.0,12766.0,606.0,636.0,Queens,1,1317,2013,POINT (-73.788522 40.592374),696,9320.0,2632.0,30.0
Beach 67 St,29009.0,33910.0,2100.0,3185.0,223.0,261.0,Queens,1,1118,2103,POINT (-73.796924 40.590927),985,4901.0,1085.0,38.0
Beach 90 St,50734.0,55264.0,4352.0,5713.0,550.0,609.0,Queens,2,463,1097,POINT (-73.813641 40.588034),634,4530.0,1361.0,59.0
Beach 98 St,33060.0,34273.0,3092.0,4004.0,454.0,501.0,Queens,2,292,481,POINT (-73.820558 40.585307),189,1213.0,912.0,47.0
Bedford - Nostrand Avs,311526.0,329096.0,48641.0,62474.0,4739.0,5831.0,Brooklyn,1,7300,8821,POINT (-73.953522 40.689627),1521,17570.0,13833.0,1092.0
Bedford Av,127457.0,139116.0,47343.0,52464.0,4408.0,4900.0,Brooklyn,1,25755,26603,POINT (-73.956872 40.717304),848,11659.0,5121.0,492.0
Bedford Park Blvd,315855.0,337699.0,34623.0,69421.0,4044.0,4189.0,Bronx,2,6303,6419,POINT (-73.887138 40.873244),116,21844.0,34798.0,145.0
Bedford Park Blvd - Lehman College,315855.0,337699.0,34623.0,69421.0,4044.0,4189.0,Bronx,1,6201,5170,POINT (-73.890064 40.873412),-1031,21844.0,34798.0,145.0
Bergen St,196483.0,212231.0,104778.0,112351.0,7458.0,8156.0,Brooklyn,4,15632,14827,POINT (-73.98298 40.683487),-805,15748.0,7573.0,698.0
Beverly Rd,243199.0,242768.0,37398.0,36736.0,3112.0,3378.0,Brooklyn,2,4375,4255,POINT (-73.948959 40.645098),-120,-431.0,-662.0,266.0
Bowery,274603.0,262520.0,289060.0,302538.0,18781.0,18282.0,Manhattan,2,2743,3738,POINT (-73.993915 40.72028),995,-12083.0,13478.0,-499.0
Bowling Green,47428.0,54520.0,196259.0,211803.0,7270.0,7390.0,Manhattan,2,30640,28646,POINT (-74.014065 40.704817),-1994,7092.0,15544.0,120.0
Briarwood - Van Wyck Blvd,109515.0,117185.0,22246.0,24353.0,2051.0,2253.0,Queens,2,4664,4913,POINT (-73.820574 40.709179),249,7670.0,2107.0,202.0
Brighton Beach,117165.0,124835.0,22638.0,36752.0,3181.0,3651.0,Brooklyn,2,12185,12065,POINT (-73.961376 40.577621),-120,7670.0,14114.0,470.0
Broad Channel,11335.0,12919.0,840.0,1476.0,127.0,153.0,Queens,2,127,285,POINT (-73.815925 40.608382),158,1584.0,636.0,26.0
Broad St,47428.0,54563.0,197736.0,213252.0,7405.0,7515.0,Manhattan,2,5635,7050,POINT (-74.011056 40.706476),1415,7135.0,15516.0,110.0
Broadway,352478.0,372383.0,152202.0,169299.0,11149.0,12137.0,Brooklyn,1,3368,4467,POINT (-73.950308 40.706092),1099,19905.0,17097.0,988.0
Broadway,352478.0,372383.0,152202.0,169299.0,11149.0,12137.0,Queens,2,13280,8473,POINT (-73.925508 40.76182),-4807,19905.0,17097.0,988.0
Bronx Park East,133453.0,136261.0,20028.0,23464.0,1613.0,1729.0,Bronx,2,2959,2498,POINT (-73.868457 40.848828),-461,2808.0,3436.0,116.0
Brook Av,157222.0,164027.0,45283.0,53011.0,2791.0,2944.0,Bronx,1,6186,6040,POINT (-73.91924 40.807566),-146,6805.0,7728.0,153.0
Buhre Av,96592.0,94553.0,28492.0,29616.0,1736.0,1876.0,Bronx,1,3718,3744,POINT (-73.832569 40.84681),26,-2039.0,1124.0,140.0
Burke Av,170597.0,177602.0,7842.0,37677.0,1758.0,1855.0,Bronx,2,3612,3234,POINT (-73.867164 40.871356),-378,7005.0,29835.0,97.0
Burnside Av,296756.0,316767.0,40398.0,46291.0,3376.0,3575.0,Bronx,1,11560,10231,POINT (-73.907684 40.853453),-1329,20011.0,5893.0,199.0
Bushwick Av - Aberdeen St,315947.0,324818.0,41661.0,53903.0,4319.0,4881.0,Brooklyn,1,1509,2079,POINT (-73.905249 40.682829),570,8871.0,12242.0,562.0
Canal St,95549.0,95474.0,188027.0,214807.0,12408.0,11859.0,Manhattan,4,25777,26834,POINT (-74.005753 40.721839),1057,-75.0,26780.0,-549.0
Canarsie - Rockaway Pkwy,97217.0,100331.0,11089.0,13860.0,980.0,1010.0,Brooklyn,1,13254,11947,POINT (-73.90185 40.646654),-1307,3114.0,2771.0,30.0
Carroll St,196483.0,212231.0,104778.0,112351.0,7458.0,8156.0,Brooklyn,2,12339,11562,POINT (-73.995048 40.680303),-777,15748.0,7573.0,698.0
Castle Hill Av,256657.0,255509.0,43291.0,51007.0,3187.0,3421.0,Bronx,1,5632,6483,POINT (-73.851222 40.834255),851,-1148.0,7716.0,234.0
Cathedral Pkwy,197878.0,196716.0,68335.0,74249.0,3623.0,3768.0,Manhattan,1,13874,12526,POINT (-73.966847 40.803967),-1348,-1162.0,5914.0,145.0
Cathedral Pkwy (110 St),275332.0,276313.0,92703.0,100243.0,4592.0,4765.0,Manhattan,2,7117,3785,POINT (-73.958161 40.800603),-3332,981.0,7540.0,173.0
Central Av,218324.0,221494.0,32517.0,45311.0,2809.0,3436.0,Brooklyn,1,1744,2393,POINT (-73.927397 40.697857),649,3170.0,12794.0,627.0
Central Park North (110 St),308820.0,312056.0,103279.0,111896.0,5230.0,5436.0,Manhattan,2,9130,8815,POINT (-73.951822 40.799075),-315,3236.0,8617.0,206.0
Chambers St,76903.0,85837.0,214894.0,248979.0,11497.0,11145.0,Manhattan,3,23147,21303,POINT (-74.009266 40.715478),-1844,8934.0,34085.0,-352.0
Chauncey St,242411.0,252626.0,21090.0,27830.0,2066.0,2426.0,Brooklyn,2,2967,3387,POINT (-73.910456 40.682893),420,10215.0,6740.0,360.0
Christopher St - Sheridan Sq,192284.0,188012.0,320502.0,340293.0,18985.0,18258.0,Manhattan,1,10076,9675,POINT (-74.002906 40.733422),-401,-4272.0,19791.0,-727.0
Church Av,288974.0,289150.0,39468.0,41830.0,3795.0,4387.0,Brooklyn,4,27432,25721,POINT (-73.9562785 40.650684999999996),-1711,176.0,2362.0,592.0
City Hall,76903.0,85837.0,214894.0,248979.0,11497.0,11145.0,Manhattan,2,5666,6657,POINT (-74.006978 40.713282),991,8934.0,34085.0,-352.0
Clark St,54668.0,62823.0,54766.0,56191.0,2936.0,3236.0,Brooklyn,2,5971,5275,POINT (-73.993086 40.697466),-696,8155.0,1425.0,300.0
Classon Av,230205.0,245261.0,43889.0,55259.0,4124.0,5037.0,Brooklyn,1,4490,5301,POINT (-73.96007 40.688873),811,15056.0,11370.0,913.0
Cleveland St,284977.0,297349.0,35983.0,40048.0,3722.0,4068.0,Brooklyn,1,3328,2975,POINT (-73.884639 40.679947),-353,12372.0,4065.0,346.0
Clinton - Washington Avs,133684.0,142011.0,39750.0,46679.0,3439.0,4033.0,Brooklyn,2,11936,12093,POINT (-73.9663385 40.685676),157,8327.0,6929.0,594.0
Coney Island - Stillwell Av,274927.0,299570.0,50784.0,72920.0,7044.0,7973.0,Brooklyn,4,13177,13203,POINT (-73.981233 40.577422),26,24643.0,22136.0,929.0
Crescent St,161645.0,166787.0,18627.0,19948.0,1798.0,1969.0,Brooklyn,2,4683,4539,POINT (-73.873785 40.683194),-144,5142.0,1321.0,171.0
