borough,station,route,ridership_2013,ridership_2018,station_geom
Brooklyn,Cypress Hills,J,1431,1457,POINT(-73.87255 40.689941)
Brooklyn,DeKalb Av,B Q R,17318,22069,POINT(-73.981824 40.690635)
Brooklyn,DeKalb Av,L,11617,12638,POINT(-73.918425 40.703811)
Brooklyn,Ditmas Av,F,4676,3904,POINT(-73.978172 40.636119)
Brooklyn,E 105 St,L,3818,3798,POINT(-73.899485 40.650573)
Brooklyn,Eastern Pkwy - Brooklyn Museum,2 3,4938,4637,POINT(-73.964375 40.671987)
Brooklyn,Euclid Av,A C,10418,10191,POINT(-73.872106 40.675377)
Brooklyn,Flatbush Av - Brooklyn College,2 5,21941,19763,POINT(-73.947642 40.632836)
Brooklyn,Flushing Av,G,2373,2949,POINT(-73.950234 40.700377)
Brooklyn,Flushing Av,J M,9165,8336,POINT(-73.941126 40.70026)
Brooklyn,Fort Hamilton Pkwy,D,3984,3936,POINT(-73.994304 40.640914)
Brooklyn,Fort Hamilton Pkwy,F G,5531,5807,POINT(-73.975776 40.650782)
Brooklyn,Fort Hamilton Pkwy,N,7034,3232,POINT(-74.005351 40.631386)
Brooklyn,Fulton St,G,4266,5462,POINT(-73.975375 40.687119)
Brooklyn,Gates Av,J Z,5999,7255,POINT(-73.92227 40.68963)
Brooklyn,Graham Av,L,10136,9959,POINT(-73.944053 40.714565)
Brooklyn,Grand Army Plaza,2 3,8066,7188,POINT(-73.971046 40.675235)
Brooklyn,Grand St,L,7444,6964,POINT(-73.94067 40.711926)
Brooklyn,Grant Av,A,6270,5896,POINT(-73.86505 40.677044)
Brooklyn,Greenpoint Av,G,8461,9509,POINT(-73.954449 40.731352)
Brooklyn,Halsey St,J,5805,6579,POINT(-73.916559 40.68637)
Brooklyn,Hewes St,J M,2859,2782,POINT(-73.953431 40.70687)
Brooklyn,High St,A C,7543,10281,POINT(-73.990531 40.699337)
Brooklyn,Hoyt - Schermerhorn Sts,A C G,9604,10540,POINT(-73.985001 40.688484)
Brooklyn,Jefferson St,L,6612,7674,POINT(-73.922913 40.706607)
