r_table_station_name,routes,ridership_2013,ridership_2018,s_table_station_name,complex_id,borough,station_geom
86 St,1,19766,19325,86 St,311,Manhattan,POINT(-73.976218 40.788644)
86 St,N,2515,1928,86 St,79,Brooklyn,POINT(-73.97823 40.592721)
86 St,Q,,25455,86 St,476,Manhattan,POINT(-73.951787 40.777891)
86 St,R,11648,11338,86 St,38,Brooklyn,POINT(-74.028398 40.622687)
86 St,"B,C",11236,6007,86 St,158,Manhattan,POINT(-73.968916 40.785868)
86 St,"4,5,6",64741,43169,86 St,397,Manhattan,POINT(-73.955589 40.779492)
88 St,A,2719,2835,88 St,191,Queens,POINT(-73.85147 40.679843)
9 Av,D,5857,5344,9 Av,59,Brooklyn,POINT(-73.994324 40.646292)
90 St - Elmhurst Av,7,16743,16253,90 St - Elmhurst Av,452,Queens,POINT(-73.876613 40.748408)
96 St,6,26232,17447,96 St,396,Manhattan,POINT(-73.95107 40.785672)
96 St,Q,,19318,96 St,475,Manhattan,POINT(-73.947152 40.784318)
96 St,"B,C",9815,9924,96 St,157,Manhattan,POINT(-73.964696 40.791642)
96 St,"1,2,3",38711,36026,96 St,310,Manhattan,POINT(-73.972323 40.793919)
Allerton Av,"2,5",5526,5144,Allerton Av,423,Bronx,POINT(-73.867352 40.865462)
Aqueduct - N Conduit Av,A,1951,921,Aqueduct - N Conduit Av,197,Queens,POINT(-73.834058 40.668234)
Aqueduct Racetrack,A,551,1901,Aqueduct Racetrack,196,Queens,POINT(-73.835919 40.672097)
Astor Pl,6,17914,16031,Astor Pl,407,Manhattan,POINT(-73.99107 40.730054)
Astoria - Ditmars Blvd,"N,W",17039,15663,Astoria - Ditmars Blvd,1,Queens,POINT(-73.912034 40.775036)
Astoria Blvd,"N,W",12210,14425,Astoria Blvd,2,Queens,POINT(-73.917843 40.770258)
Atlantic Av,L,1580,1842,Atlantic Av,133,Brooklyn,POINT(-73.903097 40.675345)
Avenue I,F,2283,1096,Avenue I,246,Brooklyn,POINT(-73.976127 40.625322)
Avenue N,F,3411,2087,Avenue N,248,Brooklyn,POINT(-73.974197 40.61514)
Avenue P,F,2757,1710,Avenue P,249,Brooklyn,POINT(-73.973022 40.608944)
Avenue U,F,2296,1042,Avenue U,251,Brooklyn,POINT(-73.973357 40.596063)
Avenue U,N,3738,2627,Avenue U,78,Brooklyn,POINT(-73.979137 40.597473)
Avenue X,F,2972,2662,Avenue X,252,Brooklyn,POINT(-73.97425 40.58962)
Bay 50 St,D,2793,2674,Bay 50 St,70,Brooklyn,POINT(-73.983765 40.588841)
Bay Pkwy,D,7111,7719,Bay Pkwy,68,Brooklyn,POINT(-73.993728 40.601875)
Bay Pkwy,F,1575,623,Bay Pkwy,247,Brooklyn,POINT(-73.975264 40.620769)
Bay Pkwy,N,6990,7261,Bay Pkwy,76,Brooklyn,POINT(-73.981848 40.611815)
Bay Ridge - 95 St,R,5974,5812,Bay Ridge - 95 St,39,Brooklyn,POINT(-74.030876 40.616622)
Bay Ridge Av,R,8079,7236,Bay Ridge Av,36,Brooklyn,POINT(-74.023377 40.634967)
Baychester Av,5,4177,3551,Baychester Av,443,Bronx,POINT(-73.838591 40.878663)
Beach 105 St,"A,S",141,261,Beach 105 St,202,Queens,POINT(-73.827559 40.583209)
Beach 25 St,A,904,1792,Beach 25 St,208,Queens,POINT(-73.761353 40.600066)
Beach 36 St,A,466,887,Beach 36 St,207,Queens,POINT(-73.768175 40.595398)
Beach 44 St,A,297,693,Beach 44 St,206,Queens,POINT(-73.776013 40.592943)
Beach 60 St,A,1317,2013,Beach 60 St,205,Queens,POINT(-73.788522 40.592374)
Beach 67 St,A,1118,2103,Beach 67 St,204,Queens,POINT(-73.796924 40.590927)
Beach 90 St,"A,S",463,1097,Beach 90 St,200,Queens,POINT(-73.813641 40.588034)
Beach 98 St,"A,S",292,481,Beach 98 St,201,Queens,POINT(-73.820558 40.585307)
Bedford - Nostrand Avs,G,7300,8821,Bedford - Nostrand Avs,289,Brooklyn,POINT(-73.953522 40.689627)
Bedford Av,L,25755,26603,Bedford Av,120,Brooklyn,POINT(-73.956872 40.717304)
Bedford Park Blvd,"B,D",6303,6419,Bedford Park Blvd,211,Bronx,POINT(-73.887138 40.873244)
Bedford Park Blvd - Lehman College,4,6201,5170,Bedford Park Blvd - Lehman College,380,Bronx,POINT(-73.890064 40.873412)
Bergen St,"2,3",4070,3653,Bergen St,339,Brooklyn,POINT(-73.975098 40.680829)
Bergen St,"F,G",11562,11174,Bergen St,236,Brooklyn,POINT(-73.990862 40.686145)
Beverly Rd,"2,5",4375,4255,Beverly Rd,357,Brooklyn,POINT(-73.948959 40.645098)
Bowery,"J,Z",2743,3738,Bowery,103,Manhattan,POINT(-73.993915 40.72028)
Bowling Green,"4,5",30640,28646,Bowling Green,414,Manhattan,POINT(-74.014065 40.704817)
Briarwood - Van Wyck Blvd,"E,F",4664,4913,Briarwood - Van Wyck Blvd,258,Queens,POINT(-73.820574 40.709179)
Brighton Beach,"B,Q",12185,12065,Brighton Beach,55,Brooklyn,POINT(-73.961376 40.577621)
Broad Channel,"A,S",127,285,Broad Channel,199,Queens,POINT(-73.815925 40.608382)
Broad St,"J,Z",5635,7050,Broad St,107,Manhattan,POINT(-74.011056 40.706476)
Broadway,G,3368,4467,Broadway,286,Brooklyn,POINT(-73.950308 40.706092)
Broadway,"N,W",13280,8473,Broadway,4,Queens,POINT(-73.925508 40.76182)
Bronx Park East,"2,5",2959,2498,Bronx Park East,425,Bronx,POINT(-73.868457 40.848828)
Brook Av,6,6186,6040,Brook Av,376,Bronx,POINT(-73.91924 40.807566)
Buhre Av,6,3718,3744,Buhre Av,361,Bronx,POINT(-73.832569 40.84681)
Burke Av,"2,5",3612,3234,Burke Av,422,Bronx,POINT(-73.867164 40.871356)
Burnside Av,4,11560,10231,Burnside Av,384,Bronx,POINT(-73.907684 40.853453)
Bushwick Av - Aberdeen St,L,1509,2079,Bushwick Av - Aberdeen St,131,Brooklyn,POINT(-73.905249 40.682829)
Canal St,1,6039,6410,Canal St,325,Manhattan,POINT(-74.006277 40.722854)
Canal St,"A,C,E",19738,20424,Canal St,169,Manhattan,POINT(-74.005229 40.720824)
Canarsie - Rockaway Pkwy,L,13254,11947,Canarsie - Rockaway Pkwy,138,Brooklyn,POINT(-73.90185 40.646654)
Carroll St,"F,G",12339,11562,Carroll St,237,Brooklyn,POINT(-73.995048 40.680303)
Castle Hill Av,6,5632,6483,Castle Hill Av,365,Bronx,POINT(-73.851222 40.834255)
Cathedral Pkwy,1,13874,12526,Cathedral Pkwy,308,Manhattan,POINT(-73.966847 40.803967)
Cathedral Pkwy (110 St),"B,C",7117,3785,Cathedral Pkwy (110 St),155,Manhattan,POINT(-73.958161 40.800603)
Central Av,M,1744,2393,Central Av,114,Brooklyn,POINT(-73.927397 40.697857)
Central Park North (110 St),"2,3",9130,8815,Central Park North (110 St),441,Manhattan,POINT(-73.951822 40.799075)
Chambers St,"1,2,3",23147,21303,Chambers St,327,Manhattan,POINT(-74.009266 40.715478)
Chauncey St,"J,Z",2967,3387,Chauncey St,93,Brooklyn,POINT(-73.910456 40.682893)
Christopher St - Sheridan Sq,1,10076,9675,Christopher St - Sheridan Sq,323,Manhattan,POINT(-74.002906 40.733422)
Church Av,"2,5",9794,9193,Church Av,356,Brooklyn,POINT(-73.949575 40.650843)
Church Av,"B,Q",17638,16528,Church Av,44,Brooklyn,POINT(-73.962982 40.650527)
City Hall,"R,W",5666,6657,City Hall,20,Manhattan,POINT(-74.006978 40.713282)
Clark St,"2,3",5971,5275,Clark St,334,Brooklyn,POINT(-73.993086 40.697466)
Classon Av,G,4490,5301,Classon Av,290,Brooklyn,POINT(-73.96007 40.688873)
Cleveland St,J,3328,2975,Cleveland St,89,Brooklyn,POINT(-73.884639 40.679947)
Clinton - Washington Avs,C,6642,7068,Clinton - Washington Avs,177,Brooklyn,POINT(-73.965838 40.683263)
Clinton - Washington Avs,G,5294,5025,Clinton - Washington Avs,291,Brooklyn,POINT(-73.966839 40.688089)
Coney Island - Stillwell Av,"D,F,N,Q",13177,13203,Coney Island - Stillwell Av,58,Brooklyn,POINT(-73.981233 40.577422)
Crescent St,"J,Z",4683,4539,Crescent St,87,Brooklyn,POINT(-73.873785 40.683194)
Crown Hts - Utica Av,"3,4",27780,25336,Crown Hts - Utica Av,345,Brooklyn,POINT(-73.932942 40.668897)
Cypress Av,6,3842,3651,Cypress Av,375,Bronx,POINT(-73.914042 40.805368)
Cypress Hills,J,1431,1457,Cypress Hills,86,Brooklyn,POINT(-73.87255 40.689941)
DeKalb Av,"B,Q,R",17318,22069,DeKalb Av,26,Brooklyn,POINT(-73.981824 40.690635)
DeKalb Av,L,11617,12638,DeKalb Av,127,Brooklyn,POINT(-73.918425 40.703811)
Ditmas Av,F,4676,3904,Ditmas Av,244,Brooklyn,POINT(-73.978172 40.636119)
Dyckman St,1,6564,7002,Dyckman St,299,Manhattan,POINT(-73.925536 40.860531)
Dyckman St,A,6557,6477,Dyckman St,144,Manhattan,POINT(-73.927271 40.865491)
E 105 St,L,3818,3798,E 105 St,137,Brooklyn,POINT(-73.899485 40.650573)
E 143 St - St Mary's St,6,911,1019,E 143 St - St Mary's St,374,Bronx,POINT(-73.907657 40.808719)
E 149 St,6,4580,4842,E 149 St,373,Bronx,POINT(-73.904098 40.812118)
E 180 St,"2,5",7003,7175,E 180 St,426,Bronx,POINT(-73.873488 40.841894)
East Broadway,F,13276,13868,East Broadway,234,Manhattan,POINT(-73.990173 40.713715)
Eastchester - Dyre Av,5,4948,4506,Eastchester - Dyre Av,442,Bronx,POINT(-73.830834 40.8883)
Eastern Pkwy - Brooklyn Museum,"2,3",4938,4637,Eastern Pkwy - Brooklyn Museum,341,Brooklyn,POINT(-73.964375 40.671987)
Elder Av,6,6377,6323,Elder Av,369,Bronx,POINT(-73.879159 40.828584)
Elmhurst Av,"M,R",13597,12463,Elmhurst Av,266,Queens,POINT(-73.882017 40.742454)
Euclid Av,"A,C",10418,10191,Euclid Av,188,Brooklyn,POINT(-73.872106 40.675377)
Far Rockaway - Mott Av,A,2651,4435,Far Rockaway - Mott Av,209,Queens,POINT(-73.755405 40.603995)
Flatbush Av - Brooklyn College,"2,5",21941,19763,Flatbush Av - Brooklyn College,359,Brooklyn,POINT(-73.947642 40.632836)
Flushing - Main St,7,60190,55669,Flushing - Main St,447,Queens,POINT(-73.83003 40.7596)
Flushing Av,G,2373,2949,Flushing Av,287,Brooklyn,POINT(-73.950234 40.700377)
Flushing Av,"J,M",9165,8336,Flushing Av,98,Brooklyn,POINT(-73.941126 40.70026)
Fordham Rd,4,12558,10395,Fordham Rd,382,Bronx,POINT(-73.901034 40.862803)
Fordham Rd,"B,D",11878,11361,Fordham Rd,213,Bronx,POINT(-73.897749 40.861296)
Forest Av,M,4103,3124,Forest Av,110,Queens,POINT(-73.903077 40.704423)
Forest Hills - 71 Av,"E,F,M,R",27728,26613,Forest Hills - 71 Av,261,Queens,POINT(-73.844521 40.721691)
Fort Hamilton Pkwy,D,3984,3936,Fort Hamilton Pkwy,60,Brooklyn,POINT(-73.994304 40.640914)
Fort Hamilton Pkwy,N,7034,3232,Fort Hamilton Pkwy,72,Brooklyn,POINT(-74.005351 40.631386)
Fort Hamilton Pkwy,"F,G",5531,5807,Fort Hamilton Pkwy,242,Brooklyn,POINT(-73.975776 40.650782)
Franklin St,1,5825,5943,Franklin St,326,Manhattan,POINT(-74.006886 40.719318)
Freeman St,"2,5",4762,4451,Freeman St,429,Bronx,POINT(-73.891865 40.829993)
Fresh Pond Rd,M,5333,4716,Fresh Pond Rd,109,Queens,POINT(-73.895877 40.706186)
Fulton St,G,4266,5462,Fulton St,292,Brooklyn,POINT(-73.975375 40.687119)
Gates Av,"J,Z",5999,7255,Gates Av,95,Brooklyn,POINT(-73.92227 40.68963)
Graham Av,L,10136,9959,Graham Av,122,Brooklyn,POINT(-73.944053 40.714565)
Grand Army Plaza,"2,3",8066,7188,Grand Army Plaza,340,Brooklyn,POINT(-73.971046 40.675235)
Grand Av - Newtown,"M,R",18298,18489,Grand Av - Newtown,265,Queens,POINT(-73.877223 40.737015)
Grand St,L,7444,6964,Grand St,123,Brooklyn,POINT(-73.94067 40.711926)
Grand St,"B,D",23770,23422,Grand St,231,Manhattan,POINT(-73.993753 40.718267)
Grant Av,A,6270,5896,Grant Av,189,Brooklyn,POINT(-73.86505 40.677044)
Greenpoint Av,G,8461,9509,Greenpoint Av,283,Brooklyn,POINT(-73.954449 40.731352)
Gun Hill Rd,5,6002,5362,Gun Hill Rd,444,Bronx,POINT(-73.846384 40.869526)
Gun Hill Rd,"2,5",7339,6930,Gun Hill Rd,421,Bronx,POINT(-73.866256 40.87785)
Halsey St,J,5805,6579,Halsey St,94,Brooklyn,POINT(-73.916559 40.68637)
Halsey St,L,7308,8386,Halsey St,129,Queens,POINT(-73.904084 40.695602)
Harlem - 148 St,3,3790,4074,Harlem - 148 St,436,Manhattan,POINT(-73.93647 40.82388)
Hewes St,"J,M",2859,2782,Hewes St,100,Brooklyn,POINT(-73.953431 40.70687)
High St,"A,C",7543,10281,High St,173,Brooklyn,POINT(-73.990531 40.699337)
Houston St,1,15736,15698,Houston St,324,Manhattan,POINT(-74.005367 40.728251)
Howard Beach - JFK Airport,A,4972,3376,Howard Beach - JFK Airport,198,Queens,POINT(-73.830301 40.660476)
